Gene,signalvalue
GALM,92.84617672
MAP4K3,90.30566609
LOC728730,225.6869765
MTA3,102.0684454
THADA,122.6872932
LRPPRC,60.24626099
PPM1B,82.57176297
CAMKMT,64.12509276
LOC101805491,122.9624612
LOC101927043,127.6858786
FBXO11,69.25853858
VRK2,75.66101791
LINC01185,75.41159919
PUS10,93.86787569
USP34,154.8811563
COMMD1,143.725924
WDPCP,187.7255204
MDH1,187.7255204
PELI1,81.55734342
LOC400958,66.75295285
PPP3R1,50.70170459
ANXA4,56.22107487
ZNF638,54.6604083
M1AP,140.5099766
SUCLG1,59.19335054
EIF2AK3,51.99834248
INPP4A,60.3799319
MAP4K4,53.51833026
NCK2,119.4544671
LIMS1,115.7553458
BUB1,125.0415072
ACOXL,140.0985585
ACTR3,57.29485433
CLASP1,73.93852897
MYO7B,78.86342192
LOC105373609,78.86342192
MGAT5,196.8619661
DARS,68.53553875
ARHGAP15,63.84712247
GTDC1,213.506548
ZEB2,235.2541838
KIF5C,91.98683443
FMNL2,66.95192982
GPD2,453.1420821
TANC1,53.81260978
RBMS1,64.23590036
TANK,83.09281487
PSMD14,65.95703853
DPP4,71.09567722
CERS6,84.60817035
MYO3B,146.5613949
METTL8,81.3575816
WIPF1,103.3436609
ATF2,71.91280639
TTN-AS1,158.4716195
TTN,158.4716195
SESTD1,56.49865964
LOC101927156,126.5717251
NCKAP1,122.9619056
TFPI,72.45138353
COL5A2,65.58556594
WDR75,72.48315107
GLS,74.51089587
ANKRD44,98.07191189
PLCL1,81.15126729
AOX3P-AOX2P,50.47910499
LOC100507140,50.47910499
FAM126B,82.77141255
CFLAR,103.0272407
CASP8,85.82702428
TRAK2,61.69727738
NOP58,89.8878521
FAM117B,70.01059219
CARF,51.96008432
NBEAL1,148.1491399
RAPH1,56.69716914
CD28,61.36171181
ADAM23,161.483093
BARD1,147.2153409
LINC00607,96.82793059
PECR,63.26068385
SMARCAL1,65.15264256
FARSB,55.60784955
ACSL3,52.1063405
WDFY1,326.1269939
MFF,124.2599074
SPHKAP,135.9147664
SP110,96.80692653
SP100,77.02364483
GIGYF2,55.92366373
INPP5D,203.5854197
UBE2F,180.9755936
UBE2F-SCLY,180.9755936
LOC100506274,61.32012631
YWHAQ,81.87207047
ODC1,66.37748204
MSGN1,57.64876747
SLC30A6,86.90176114
GPATCH11,103.8043028
C2orf91,54.94747196
ATP6V1E2,83.10554867
MCFD2,144.7252523
CALM2,115.1045069
FOXN2,57.62782304
LOC101927438,84.49480109
PLEK,152.4397255
KCMF1,58.35287885
PARTICL,61.67306069
MAT2A,61.67306069
POLR1A,68.42124845
KDM3A,227.8666759
NCAPH,57.6864289
MGAT4A,58.8974456
RNF149,56.21945545
IL18R1,56.42386148
RANBP2,157.354233
LOC400997,140.0985585
ZC3H6,56.3564122
PSD4,64.94424866
SFT2D3,51.08895105
WDR33,196.2767954
CCDC74A,50.15825897
DARS-AS1,55.94678036
ZEB2-AS1,235.2541838
RND3,56.4684735
LOC101929260,158.9143749
CYTIP,57.2745455
LOC100505984,83.88895525
TTC21B,65.91877974
CDCA7,106.5714549
MTX2,51.55868413
NEMP2,174.9977158
STAT4,252.8395381
ANKRD44-IT1,98.07191189
MARS2,51.71150962
PPIL3,59.12229606
NIF3L1,59.12229606
NDUFB3,82.77141255
CASP10,72.70121307
WDR12,51.96008432
CCNYL1,72.22345516
WNT10A,80.6889195
IRS1,144.9793524
LOC654841,124.2599074
SP140,143.4415932
SPATA3-AS1,81.3943636
USP40,56.61938923
MIR4269,126.5177685
MTERF4,64.82586988
D2HGDH,67.58049343
IL5RA,88.34775008
GRM7,128.2972519
ANKRD28,82.73376178
CMC1,311.1803221
RBMS3,185.7737863
CCDC66,56.53886701
DENND6A,53.48285219
FHIT,91.79853132
PTPRG,90.34098387
ATXN7,54.16594895
FOXP1,127.7774573
MIR548G,76.43604446
CMSS1,76.43604446
LOC152225,279.3569598
BTLA,64.98496167
ZBTB20,94.11972691
COPG1,72.93740876
PIK3CB,52.46484303
MBNL1,90.46590989
GPR149,77.78612323
TNIK,73.03889763
FNDC3B,128.8523413
NAALADL2,177.0400606
KCNMB2-AS1,69.33786805
ACAP2,60.99259459
UBXN7,104.8449723
CHL1,64.03956
ITPR1,137.6222394
BHLHE40-AS1,128.5682991
GRM7-AS3,52.9817677
SRGAP3,51.63640127
TADA3,79.36584241
IQSEC1,83.25133785
C3orf20,235.1388272
NR2C2,111.3861911
SH3BP5,215.1371566
RFTN1,89.91486211
DAZL,142.0488381
PLCL2,147.8993594
TBC1D5,138.3570587
LOC339862,64.66505633
KAT2B,77.55911996
ZNF385D,66.07616545
UBE2E2,53.02691591
MIR548AC,58.81473765
UBE2E1,53.78892971
NGLY1,50.89873324
TGFBR2,61.55669221
STT3B,288.4078431
CNOT10,71.03501058
TRIM71,109.7296337
TRANK1,250.6712412
CTDSPL,139.887162
SEC22C,53.94751111
LZTFL1,185.8884073
SMARCC1,70.17635297
SFMBT1,117.0806798
CACNA1D,52.12225378
ARHGEF3,90.66127724
FLNB,103.8633632
LRIG1,53.09191582
FRMD4B,107.3555259
LINC00870,79.37065863
SHQ1,100.586439
GXYLT2,89.34322823
PDZRN3,149.7265282
COL8A1,69.49096731
ADGRG7,51.15606888
CEP97,68.31044228
CBLB,119.5970231
BOC,50.29009615
USF3,121.1876618
ARHGAP31,79.85701604
GSK3B,79.43739769
IQCB1,50.29282682
KPNA1,86.70398502
DTX3L,60.07391053
MYLK-AS1,59.067457
ITGB5,57.87239603
SLC12A8,144.45922
CHCHD6,80.135854
ISY1-RAB43,63.25460619
ATP2C1,128.9220809
TMEM108,91.39882781
EPHB1,161.0500193
CEP70,73.87013295
ZBTB38,145.8458951
WWTR1,118.5240176
SIAH2,72.7387962
LEKR1,128.2000859
IL12A-AS1,114.278861
BCHE,200.7520016
SERPINI1,75.61856844
PRKCI,50.20777344
LOC101928583,112.873507
PIK3CA,52.19543036
PEX5L,71.46772603
LAMP3,106.9635618
KLHL6,87.6560477
ST6GAL1,240.7743768
LPP,53.15802657
MB21D2,144.610595
XXYLT1,60.50551664
BHLHE40,66.00157293
RAD18,64.72045265
ARPC4,79.36584241
ARPC4-TTLL3,79.36584241
RAF1,83.40510527
COL6A4P1,72.89482779
COLQ,131.8581748
AZI2,363.7840394
CMTM7,273.08769
GORASP1,82.21408158
TTC21A,82.21408158
SS18L2,53.94751111
LIMD1,115.9780048
LRRC2,107.025043
KIF9-AS1,166.9160331
PDE12,58.77121536
EOGT,273.5969722
ARL6IP5,51.07353851
CGGBP1,138.5464673
ZNF654,138.5464673
HP09053,76.43604446
NXPE3,274.963693
LINC01215,60.52945392
C3orf52,59.59090129
GCSAM,50.48690453
TMEM39A,53.80408926
ILDR1,51.97471068
CD86,104.6003883
CASR,57.74301184
PARP15,213.8132722
HACD2,59.067457
HEG1,55.65139168
RAB43,63.25460619
HMCES,124.8720465
PAQR9-AS1,56.06393085
SLC33A1,93.32431386
SSR3,54.88272338
PDCD10,115.5553162
LOC101928739,52.19543036
EIF4A2,359.2543183
SNORD2,359.2543183
OSTN,67.28269713
UTS2B,246.0756734
NRROS,186.0072905
PIGX,61.79913018
ACOX3,52.21845084
CCSER1,88.2451894
LEF1,90.09520544
IL15,65.38111182
APBB2,80.42735813
GABRB1,57.08980828
TEC,52.55435
RASSF6,578.7338672
UNC5C,145.7991254
BANK1,50.26868835
COL25A1,163.5461512
ALPK1,56.78843421
ANK2,54.29235211
PRDM5,57.17213092
INPP4B,65.44527126
ARHGAP10,264.7951503
FSTL5,106.4505443
1-Mar,112.7519159
GALNTL6,217.3453691
SPON2,181.8447699
TNIP2,87.20084408
JAKMIP1,114.3088513
KIAA0232,214.3936328
LCORL,59.62290854
ADGRA3,76.90009409
TBC1D19,114.9773154
STIM2,55.55689863
ARAP2,67.9083562
DTHD1,199.9955269
RELL1,51.4035349
TBC1D1,335.4492106
FAM114A1,78.18894159
RFC1,66.22357499
SMIM14,227.2745982
UBE2K,291.8660076
RBM47,83.84624054
ATP8A1,160.6087347
ATP10D,202.3454759
SCFD2,60.98647276
NPFFR2,210.1209678
EREG,74.02102742
ART3,101.4462969
CCNI,51.87841098
CXCL13,64.14547453
FRAS1,69.77031185
LINC01088,82.80720527
ANTXR2,60.11626951
ARHGAP24,67.10883318
PTPN13,51.71701512
AFF1,99.25420489
LOC105369192,53.62861503
HERC3,119.3288524
FAM13A,54.85310947
SMARCAD1,64.16951619
PPP3CA,88.57598282
CENPE,56.42596603
TET2-AS1,62.49462153
PPA2,60.77657253
TBCK,84.39158275
MCUB,158.0711043
CAMK2D,129.8463082
INTU,294.1611607
HSPA4L,52.72078481
LOC100507487,52.95432891
LINC01256,73.65661414
LINC00499,62.0327725
LOC105377448,172.8302046
MAML3,73.09162223
GAB1,93.41871197
ANAPC10,79.60547127
LRBA,104.0607047
FBXW7,62.21607821
ARFIP1,74.39129753
KIAA0922,59.17841398
GUCY1A3,117.3114512
FNIP2,104.9305898
C4orf45,61.78394792
PALLD,161.9060298
CEP44,88.73865857
ACSL1,94.98925069
CFAP97,124.0654028
LOC100130872,181.8447699
TMEM129,51.85145646
TACC3,51.85145646
LINC01085,66.5575742
CD38,62.87684724
LAP3,59.78938239
DHX15,67.40076056
LINC01258,69.68365248
TLR1,73.9021496
LOC101060498,198.6682687
PDCL2,135.1941439
SPINK2,63.05362144
STAP1,63.71272972
SULT1E1,61.60532984
11-Sep,155.4211735
CCNG2,62.82288235
MRPL1,63.60574875
ANXA3,58.17043473
LINC01094,110.2977039
BMP3,128.6222006
THAP9,105.2946314
COPS4,141.3475032
COQ2,114.5781367
DAPP1,50.31172474
SLC39A8,53.78537491
NFKB1,78.03264371
AIMP1,84.39158275
TIFA,57.80556346
UGT8,209.299393
TNIP3,65.82621005
SLC7A11,114.8573759
OTUD4,126.6096804
TMEM154,51.29647299
CBR4,64.07253833
FBXO8,88.73865857
CLDN22,64.36247322
LOC728175,62.71977266
ADAMTS12,64.95549511
PDE4D,66.8270129
LOC102467224,62.56576654
GRAMD3,82.97248659
ARHGAP26,259.0740007
WDR70,73.34027224
FLJ32255,97.21185058
ZSWIM6,51.47003811
FCHO2,106.4501232
MEF2C,71.63844239
ADGRV1,71.64703111
MCTP1,86.94355748
EFNA5,233.045129
SLC25A46,89.64508088
DPYSL3,123.1643503
EBF1,168.5871504
TENM2,71.5746972
AHRR,71.92821086
ANKRD33B,61.37882515
DAP,66.52772205
TRIO,70.27677308
11-Mar,150.5166949
C5orf42,77.35204814
EGFLAM,91.99421054
SKIV2L2,60.25113234
ANKRD55,92.15355174
KIF2A,123.8047937
RGS7BP,84.60510703
ADAMTS6,56.62650786
RAD17,86.98571715
MRPS27,281.1068002
ARHGEF28,129.8471775
LINC01331,66.72504242
ENC1,77.55293855
POLK,52.83211748
IQGAP2,58.71386496
F2R,483.3036882
TBCA,79.74720043
AP3B1,84.72593111
LHFPL2,51.34375628
ARSB,80.52138048
HOMER1,94.04873378
SERINC5,125.9735884
MSH3,91.99209536
RASGRF2,104.7249552
ATG10,256.6713269
XRCC4,53.48619
EDIL3,92.97355304
MEF2C-AS1,164.0970994
KIAA0825,56.98019925
ELL2,163.5439832
FBXL17,80.92144436
FER,59.91176307
CAMK4,52.46777745
KCNN2,109.9824905
COMMD10,69.34904726
LOC105379143,78.16381636
TNFAIP8,75.49339169
CSNK1G3,173.5982393
ZNF608,98.93271995
3-Mar,119.0188977
CCDC192,118.8049756
CDC42SE2,55.61931618
RAPGEF6,109.4658324
CDKL3,53.01355207
CDC25C,56.91388608
NRG2,54.19707771
ANKHD1,51.61623302
ANKHD1-EIF4EBP3,51.61623302
DIAPH1,52.68174486
LOC101926941,62.06951433
NR3C1,55.71623747
CCDC69,72.45800624
GALNT10,131.74292
TIMD4,56.54471652
ITK,53.69241061
LOC101927697,70.94034227
RNF145,57.55503038
ATP10B,186.8855339
DOCK2,171.3210086
FBXW11,55.01509285
LPCAT1,52.88308254
UBE2QL1,91.9869778
PAPD7,80.62665999
MTRR,62.8219946
FAM173B,70.11896238
CCT5,70.11896238
GDNF-AS1,96.00386023
LOC648987,50.15293028
LOC100132356,50.15293028
LOC100506639,50.15293028
IL6ST,56.04613794
PART1,58.84354485
CTC-436P18.1,165.9526489
ZNF366,63.49438482
LINC01333,126.2071512
TMEM167A,53.48619
ERAP2,164.4046326
RIOK2,68.29055631
ST8SIA4,139.0967133
LOC101927190,82.98113726
TCF7,50.44106007
UBE2B,53.01355207
SEC24A,69.05107734
FAM53C,56.91388608
MZB1,81.90401218
SPATA24,123.8504454
LARS,79.62789688
ARHGEF37,83.27462475
SYNPO,52.40857013
IRGM,182.333961
HAVCR1,68.59881359
THG1L,72.21158483
CLINT1,148.7635327
LOC285627,224.4066314
LCP2,60.02929096
BNIP1,64.49094188
TSPAN17,114.4024921
DOK3,141.6841003
PLEKHG1,89.46429171
GMDS,131.5544916
F13A1,60.06689379
KIF13A,54.33242384
CDKAL1,350.3957876
