Gene,signalvalue
CCDC88A,222.6824213
ACYP2,192.1025443
EHBP1,88.3733578
DNAH6,215.3127272
TMEM131,185.392761
TBC1D8,73.48501094
IL1R1,61.00971129
TGFBRAP1,179.0430017
SH3RF3,178.9015748
TMEM163,82.97483666
R3HDM1,157.6996139
THSD7B,57.97743596
NXPH2,62.68538442
KYNU,86.85598043
MBD5,75.51525076
LYPD6B,69.4599197
BAZ2B,62.04206203
COBLL1,123.4829718
ABCB11,100.4200919
UBR3,60.06146192
ZAK,250.2534178
MLK7-AS1,250.2534178
OLA1,51.01667447
MIR548N,75.25012302
HECW2,166.5343008
BMPR2,50.47517084
ERBB4,95.05271449
IKZF2,158.4723504
SPAG16,86.53150759
XRCC5,124.5991141
SGPP2,87.1621422
TRIP12,268.4764181
HDAC4,81.55661066
HDLBP,90.51600934
LINC01250,52.71577767
TSSC1,64.83781027
KIDINS220,91.16016079
ATP6V1C2,76.31478723
ROCK2,50.19097252
LPIN1,64.26772359
LINC00276,94.59721954
NBAS,146.9904079
ITSN2,90.10652406
NCOA1,51.7972133
EFR3B,84.99922837
DNMT3A,155.1290529
DTNB,218.847946
ASXL2,52.80771144
RAB10,60.37787077
ALK,85.15602636
LCLAT1,83.10469402
BIRC6,56.79760091
TTC27,223.8530778
RASGRP3,137.3659089
LINC01317,64.37377173
STRN,60.14559011
RMDN2,52.19042539
CYP1B1-AS1,105.2336033
LOC728730,114.6708933
MTA3,95.52175022
THADA,183.7360912
PLEKHH2,53.51181433
CAMKMT,141.9633758
RHOQ,68.53958079
FBXO11,99.72949952
ASB3,140.3274091
GPR75-ASB3,140.3274091
SPTBN1,88.88396944
PPP4R3B,69.82723617
VRK2,102.8852944
BCL11A,60.50555368
LINC01185,86.77366909
PUS10,60.00161058
USP34,51.36178001
COMMD1,84.47016185
VPS54,54.73672835
PELI1,164.8161812
LOC400958,73.84707965
MEIS1,88.25139148
PPP3R1,110.0970153
ANTXR1,56.16575027
C2orf42,54.0750688
DGUOK-AS1,97.83771508
TET3,67.04539392
M1AP,133.5231018
TACR1,101.8545652
ST3GAL5,80.60266705
REEP1,75.55901225
LOC101928371,97.21492061
EIF2AK3,147.444228
ITPRIPL1,75.76803307
FAM178B,54.40482584
LINC01125,69.09339111
INPP4A,50.67299469
KIAA1211L,85.22056344
NCK2,106.8455062
LIMS1,85.47494712
CCDC138,89.72485435
10-Sep,59.99986313
ACOXL,81.70601414
CFAP221,57.22335533
EPB41L5,216.9792214
CLASP1,55.26255125
CNTNAP5,149.7465528
MYO7B,66.60265378
LOC105373609,66.60265378
MGAT5,102.5519032
DARS,122.5293913
ARHGAP15,111.6720883
GTDC1,106.3160046
EPC2,105.1598866
GPD2,228.0736031
LY75-CD302,105.8014631
LY75,105.8014631
PLA2R1,117.5747097
TANK,130.6454612
FIGN,125.9763635
